user_id,day,typing_speed,key_press_duration,correction_rate,screen_time,night_usage,unlock_count,movement_intensity,acceleration_variance,task_accuracy,task_completion_time,speed_variance,risk_stage
user_0000,0,64.09,113.47,3.96,4.5,0.44,39,1.0,0.0965,93.38,17.96,0.1666,0
user_0000,1,63.87,113.08,3.95,4.53,0.48,40,1.0,0.0945,93.47,18.09,0.1677,0
user_0000,2,63.88,113.36,3.99,4.5,0.45,39,1.0,0.0934,93.64,18.28,0.1686,0
user_0000,3,64.01,113.84,3.92,4.48,0.46,39,0.99,0.094,93.42,18.01,0.168,0
user_0000,4,64.11,113.84,4.06,4.51,0.45,39,1.01,0.0951,93.49,18.12,0.1665,0
user_0000,5,64.1,113.69,3.92,4.52,0.46,40,1.01,0.0958,93.87,17.91,0.167,0
user_0000,6,63.96,113.26,4.08,4.54,0.45,39,0.99,0.0941,93.61,17.98,0.1669,0
user_0000,7,64.05,113.91,4.02,4.53,0.47,40,1.0,0.0963,93.51,17.96,0.1687,0
user_0000,8,63.93,112.95,4.03,4.51,0.45,40,1.0,0.0956,93.33,17.91,0.1688,0
user_0000,9,63.97,113.2,3.92,4.49,0.45,39,1.0,0.0953,93.58,17.97,0.1668,0
user_0000,10,63.91,113.7,4.0,4.54,0.44,39,1.0,0.0941,93.67,18.14,0.1688,0
user_0000,11,63.84,113.64,3.96,4.54,0.47,40,1.0,0.0948,93.6,17.88,0.1679,0
user_0000,12,63.84,113.77,3.99,4.51,0.44,39,1.0,0.0969,93.58,18.14,0.1699,0
user_0000,13,63.93,113.57,3.89,4.55,0.47,39,1.0,0.0971,93.55,18.08,0.1676,0
user_0000,14,63.79,113.88,4.1,4.54,0.44,39,0.99,0.0965,93.66,18.04,0.1683,0
user_0000,15,63.84,113.65,3.9,4.5,0.46,39,1.01,0.0961,93.81,18.01,0.166,0
user_0000,16,63.97,113.38,4.07,4.52,0.45,39,1.0,0.0946,93.61,18.1,0.167,0
user_0000,17,63.83,113.49,4.05,4.52,0.46,40,1.0,0.0941,93.64,18.01,0.1682,0
user_0000,18,64.13,113.38,4.1,4.54,0.45,40,1.0,0.0954,93.62,18.14,0.1674,0
user_0000,19,64.17,113.86,4.02,4.52,0.44,39,1.0,0.094,93.53,17.95,0.1656,0
user_0000,20,64.03,113.51,4.01,4.5,0.45,40,1.0,0.0961,93.4,18.24,0.1692,0
user_0000,21,64.18,113.82,4.0,4.53,0.46,39,1.0,0.0928,93.45,18.17,0.167,0
user_0000,22,63.93,113.7,3.88,4.54,0.46,40,1.01,0.0933,93.72,17.93,0.1661,0
user_0000,23,63.94,114.09,4.0,4.49,0.44,39,0.99,0.0934,93.69,18.13,0.1672,0
user_0000,24,63.9,113.63,4.18,4.53,0.46,39,1.0,0.0963,93.54,17.81,0.1687,0
user_0000,25,63.88,114.15,4.05,4.52,0.46,39,1.0,0.0956,93.62,17.95,0.1668,0
user_0000,26,63.92,113.86,4.11,4.53,0.46,39,1.0,0.0961,93.46,17.82,0.1662,0
user_0000,27,63.87,113.91,4.12,4.51,0.45,40,1.0,0.0967,93.48,18.09,0.1671,0
user_0000,28,64.1,113.55,3.95,4.57,0.46,39,1.0,0.0971,93.41,18.08,0.168,0
user_0000,29,63.87,113.62,3.84,4.56,0.45,40,1.0,0.0974,93.49,18.02,0.1679,0
user_0000,30,64.1,113.91,3.96,4.5,0.47,39,1.01,0.0949,93.53,17.93,0.1673,0
user_0000,31,64.16,113.81,4.04,4.52,0.44,39,1.0,0.096,93.54,18.1,0.1679,0
user_0000,32,63.98,114.19,4.03,4.51,0.47,40,1.01,0.0952,93.63,17.85,0.1682,0
user_0000,33,63.95,113.28,4.08,4.47,0.43,40,1.0,0.0968,93.61,18.15,0.1681,0
user_0000,34,63.95,113.6,3.98,4.53,0.44,40,1.0,0.0957,93.56,17.75,0.1665,0
user_0000,35,63.96,113.6,4.02,4.53,0.47,40,1.0,0.0929,93.39,18.05,0.1684,0
user_0000,36,64.2,113.41,3.98,4.52,0.47,40,1.01,0.0956,93.65,18.1,0.1675,0
user_0000,37,63.82,113.55,4.11,4.54,0.45,39,0.99,0.0975,93.62,17.99,0.1676,0
user_0000,38,63.65,113.5,4.1,4.54,0.46,39,1.0,0.0949,93.37,18.0,0.1678,0
user_0000,39,64.14,113.26,3.99,4.52,0.44,40,1.0,0.0949,93.74,17.97,0.1669,0
user_0000,40,63.9,113.41,3.96,4.48,0.45,40,0.99,0.0952,93.54,18.05,0.1686,0
user_0000,41,64.1,113.46,3.94,4.53,0.45,39,1.01,0.0949,93.47,17.78,0.1682,0
user_0000,42,63.83,113.62,4.07,4.49,0.45,40,0.99,0.0941,93.44,17.98,0.1673,0
